Discovery_CPU Count,Discovery_RAM (Gb),Count,Config
1,2,1,1CPU-2GB
10,32,1,10CPU-32GB
12,12,1,12CPU-12GB
12,32,3,12CPU-32GB
12,48,2,12CPU-48GB
16,128,2,16CPU-128GB
16,16,3,16CPU-16GB
16,32,8,16CPU-32GB
16,40,1,16CPU-40GB
16,48,4,16CPU-48GB
16,50,1,16CPU-50GB
16,64,6,16CPU-64GB
2,12,1,2CPU-12GB
2,16,2,2CPU-16GB
2,2,2,2CPU-2GB
2,4,37,2CPU-4GB
2,6,1,2CPU-6GB
2,8,10,2CPU-8GB
24,48,41,24CPU-48GB
24,80,1,24CPU-80GB
32,110,12,32CPU-110GB
32,120,4,32CPU-120GB
32,16,2,32CPU-16GB
32,32,1,32CPU-32GB
4,12,8,4CPU-12GB
4,16,17,4CPU-16GB
4,32,6,4CPU-32GB
4,4,11,4CPU-4GB
4,6,1,4CPU-6GB
4,64,1,4CPU-64GB
4,8,24,4CPU-8GB
6,8,2,6CPU-8GB
8,12,3,8CPU-12GB
8,16,12,8CPU-16GB
8,24,4,8CPU-24GB
8,32,6,8CPU-32GB
8,64,1,8CPU-64GB
8,8,4,8CPU-8GB
