Timestamp,cpu.usage.average,cpu.ready.summation,mem.usage.average,disk.usage.average,net.usage.average
2025-12-04 15:00:00,7.37,29064,1.07,119,1739
2025-12-04 15:30:00,2.41,19043,0.99,152,605
2025-12-04 16:00:00,2.35,18583,0.99,194,586
2025-12-04 16:30:00,1.0,12339,0.99,64,145
2025-12-04 17:00:00,1.32,13225,0.99,100,218
2025-12-04 17:30:00,0.82,10687,0.99,35,107
2025-12-04 18:00:00,1.02,12292,0.99,65,176
2025-12-04 18:30:00,0.79,8136,1.02,55,113
2025-12-04 19:00:00,0.88,6493,0.99,60,158
2025-12-04 19:30:00,0.8,9629,1.06,35,106
2025-12-04 20:00:00,1.02,11240,0.99,60,159
2025-12-04 20:30:00,0.69,5741,0.99,35,106
2025-12-04 21:00:00,1.01,10940,0.99,117,158
2025-12-04 21:30:00,0.74,6417,0.99,35,106
2025-12-04 22:00:00,0.98,9521,0.99,195,158
2025-12-04 22:30:00,0.76,6982,0.99,35,106
2025-12-04 23:00:00,0.94,8002,0.99,60,157
2025-12-04 23:30:00,0.67,5087,0.99,36,106
2025-12-05 00:00:00,1.0,10744,1.02,265,158
2025-12-05 00:30:00,0.85,10626,0.99,35,105
2025-12-05 01:00:00,1.0,9345,1.02,76,160
2025-12-05 01:30:00,0.77,7206,0.99,35,106
2025-12-05 02:00:00,0.91,7449,0.99,59,159
2025-12-05 02:30:00,0.66,4888,0.99,35,106
2025-12-05 03:00:00,0.83,5596,1.01,58,158
2025-12-05 03:30:00,0.81,9565,0.99,35,106
2025-12-05 04:00:00,0.88,6945,0.99,60,160
2025-12-05 04:30:00,0.72,6321,0.99,35,105
2025-12-05 05:00:00,0.85,5935,1.07,53,158
2025-12-05 05:30:00,0.8,8144,0.99,36,106
2025-12-05 06:00:00,0.88,7790,0.99,58,157
2025-12-05 06:30:00,0.73,8220,0.99,36,106
2025-12-05 07:00:00,0.88,8442,1.06,60,157
2025-12-05 07:30:00,0.72,7553,0.99,35,106
2025-12-05 08:00:00,0.88,8236,0.99,59,156
2025-12-05 08:30:00,0.72,7477,0.99,37,110
2025-12-05 09:00:00,2.29,10431,1.02,291,383
2025-12-05 09:30:00,12.11,16494,0.99,267,1817
2025-12-05 10:00:00,2.99,14600,0.99,319,641
2025-12-05 10:30:00,4.78,13515,0.99,140,992
2025-12-05 11:00:00,8.45,17181,1.06,249,1536
2025-12-05 11:30:00,9.89,18241,1.02,192,1935
